source_id,root_label,logical_path,sha256,bytes,role
frozen_copy_goes19_2026_frozen_selection,reviewer_repository,data/goes19_2026_metric_holdout/FROZEN_SELECTION.json,d62e0a0f3c803b4c1e0ebbd23f540279d22d4e3b3ec69f784e96a8b83fab3878,595,byte-for-byte source for GOES19_2026_FROZEN_SELECTION.json
mask_goes19_2026,reviewer_repository,data/goes19_2026_metric_holdout/goes_city_grid_mask_summary.csv,b1bdc570f852e08d19cd1876d57ff9323ee6e3fa6980030734ca7d1f9c03fde2,2472,GOES-19 grid-support counts
external_attrition,reviewer_repository,outputs/grl_deepening_2026/goes17_goes16_external_metric/event_attrition.csv,ea5c8c50a9fe5f8204cacdd92d15deb0e33e6e756f2b0535d93c22f9d52a6af5,477,external event-level attrition
external_report,reviewer_repository,outputs/grl_deepening_2026/goes17_goes16_external_metric/external_replication_report.json,895fbc1598cc7e3a41c82dfa1422c22cc01ff341fd44610381588e9e918c6f51,5267,external aggregate analysis counts
external_offsets,reviewer_repository,outputs/grl_deepening_2026/goes17_goes16_external_metric/frozen_hour_offsets_2019_2020.csv,73a41a9b9174bc7f57d7f536e2348fdba655408b9ceff44b49644a536495e3f1,627,frozen external hour offsets
stage_hourly_8,reviewer_repository,outputs/grl_deepening_2026/goes17_goes16_external_metric/validation_2021_hourly_predictions.parquet,19d4dd91044a95ba2165f0e92e2fee8e2c6ab14a2fd2df84ed0d4d8d05e31802,195954,hourly analysis membership/counts for external_validation_combined_2021
stage_transition_8,reviewer_repository,outputs/grl_deepening_2026/goes17_goes16_external_metric/validation_2021_transition_predictions.parquet,fad4127e9a30cb8533015e5c14211e5fa38594aa7b78e4b8d17cfcb0a6519a79,83805,transition analysis counts for external_validation_combined_2021
frozen_copy_metric_aware_harmonization_frozen_manifest,reviewer_repository,outputs/grl_deepening_2026/goes18_goes19_metric_harmonization/frozen_metric_aware_manifest.json,b13aa8b6197653289c945383da5568fb3b4e23f0ad016b4f928678d0b2b0d5e9,5189,byte-for-byte source for METRIC_AWARE_HARMONIZATION_FROZEN_MANIFEST.json
selection_metric_aware,reviewer_repository,outputs/grl_deepening_2026/goes18_goes19_metric_harmonization/model_selection.csv,ca98946d6f9ff7986b87831cd93c362a8c679dec3aca3983c542b0aa20ed158b,1637,metric-specific model-selection scores
stage_hourly_6,reviewer_repository,outputs/grl_deepening_2026/goes18_goes19_metric_harmonization/validation_2026_hourly_predictions.parquet,66547d58343045f8076029e162e2db6c3bd19d1222f4b877ef3d6198ba140fac,640523,hourly analysis membership/counts for metric_aware_validation_combined_2026
stage_transition_6,reviewer_repository,outputs/grl_deepening_2026/goes18_goes19_metric_harmonization/validation_2026_transition_predictions.parquet,2c79d6b79732a84026277bbee2d05ce9fea906893ea28184ebb036ec9639ee9d,241359,transition analysis counts for metric_aware_validation_combined_2026
uncertainty_frozen_summary,reviewer_repository,outputs/grl_deepening_2026/goes18_goes19_metric_harmonization/validation_2026_uncertainty.csv,99b1e5ec2e105170f84bf2963742b34b70cd829e23d538fd9c7b11bcc5baa9d2,895,frozen 2026 uncertainty summary
stage_hourly_5,reviewer_repository,outputs/grl_deepening_2026/multiplatform_expanded_validation/combined_2025_common_domain_predictions.parquet,e83a7a47298458ea4cd596bb73a37fa86a910773757d2ad3c7117599c91a839a,543588,hourly analysis membership/counts for metric_aware_calibration_combined_2025
stage_hourly_2,reviewer_repository,outputs/grl_deepening_2026/multiplatform_expanded_validation/historical_expanded_predictions.parquet,0a4d78cf1edadb98420d33d5aa18c9f36ff378cc8c59e02e0206e86cd79f9747,695531,hourly analysis membership/counts for initial_model_evaluation_expansion_2022_2024
stage_hourly_4,reviewer_repository,outputs/grl_deepening_2026/multiplatform_expanded_validation/validation_expanded_predictions.parquet,bb411d9ac92dd59f1f1fe1a80b6867323ebafe5d3aea9ee5f18ba8bae92a653f,237221,hourly analysis membership/counts for initial_model_evaluation_expansion_2025
stage_hourly_1,reviewer_repository,outputs/grl_deepening_2026/multiplatform_harmonization/derivation_city_event_hourly.parquet,de893f6c44efe0df4e3c0b65989543fa9f640a5230ef5d40c8a2c808c4d3c5b2,673350,hourly analysis membership/counts for initial_model_derivation_original_2022_2024
selection_initial,reviewer_repository,outputs/grl_deepening_2026/multiplatform_harmonization/derivation_model_selection.csv,d764314bbfe948c3d654280c1a05ed156280979774ad1a0207cb989edb3de0f9,421,initial model-selection scores
frozen_copy_initial_harmonization_frozen_manifest,reviewer_repository,outputs/grl_deepening_2026/multiplatform_harmonization/frozen_harmonization_manifest.json,014782fac5d5621259810810a4762b7b49a89155d5d46c992bde45f9902b2a8c,1522,byte-for-byte source for INITIAL_HARMONIZATION_FROZEN_MANIFEST.json
stage_hourly_3,reviewer_repository,outputs/grl_deepening_2026/multiplatform_harmonization/validation_2025_predictions.parquet,a732c10342ed1bc6bfea96957831cd03fc6e22b94f1d237483852172ffa40db2,328139,hourly analysis membership/counts for initial_model_evaluation_original_2025
